dataset,query_id,doc_id,label,bm25_rank,query_text,doc_text
scifact,911,11254556,1,0,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,Presynaptically Localized Cyclic GMP-Dependent Protein Kinase 1 Is a Key Determinant of Spinal Synaptic Potentiation and Pain Hypersensitivity Synaptic long-ter
scifact,911,3285059,0,24,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,Lack of Skeletal Muscle IL-6 Affects Pyruvate Dehydrogenase Activity at Rest and during Prolonged Exercise Pyruvate dehydrogenase (PDH) plays a key role in the 
scifact,911,37205759,0,9,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,Obesity occurring in apolipoprotein E-knockout mice has mild effects on fertility. The Apolipoprotein (Apo) family is implicated in lipid metabolism. There are 
scifact,911,649951,0,12,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,Involvement of CB1 cannabinoid receptors in emotional behaviour Rationale: Endogenous and exogenous cannabinoids acting through the CB1 cannabinoid receptors ar
scifact,911,25827024,0,8,PKG-la plays an essential role in expression of pain hypersensitivity in PGK-la knockout mice.,Neuron-specific expression of CuZnSOD prevents the loss of muscle mass and function that occurs in homozygous CuZnSOD-knockout mice. Deletion of copper-zinc sup
scifact,517,15663829,1,22,High levels of copeptin decrease risk of diabetes.,Mendelian Randomization Study of B-Type Natriuretic Peptide and Type 2 Diabetes: Evidence of Causal Association from Population Studies BACKGROUND Genetic and e
scifact,517,23783727,0,80,High levels of copeptin decrease risk of diabetes.,Ticagrelor vs. clopidogrel in patients with acute coronary syndromes and diabetes: a substudy from the PLATelet inhibition and patient Outcomes (PLATO) trial AI
scifact,517,13933299,0,57,High levels of copeptin decrease risk of diabetes.,Midlife Serum Cholesterol and Increased Risk of Alzheimer’s and Vascular Dementia Three Decades Later Aims: To investigate midlife cholesterol in relation to Al
scifact,517,20288322,0,71,High levels of copeptin decrease risk of diabetes.,"Lipid homeostasis, lipotoxicity and the metabolic syndrome. In the 20th century industrialized nations have become afflicted with an unprecedented pandemic of i"
scifact,517,17656445,0,18,High levels of copeptin decrease risk of diabetes.,"Alternative Markers of Hyperglycemia and Risk of Diabetes OBJECTIVE Fructosamine, glycated albumin, and 1,5-anhydroglucitol (1,5-AG) are of interest for monitor"
scifact,1100,7662206,1,1,Statins increase blood cholesterol.,A Century of Cholesterol and Coronaries: From Plaques to Genes to Statins One-fourth of all deaths in industrialized countries result from coronary heart diseas
scifact,1100,9315213,0,24,Statins increase blood cholesterol.,Fibroblast Growth Factor 21 Prevents Atherosclerosis by Suppression of Hepatic Sterol Regulatory Element-Binding Protein-2 and Induction of Adiponectin in Mice 
scifact,1100,5612738,0,80,Statins increase blood cholesterol.,MicroRNA-148a regulates LDL receptor and ABCA1 expression to control circulating lipoprotein levels The hepatic low-density lipoprotein receptor (LDLR) pathway 
scifact,1100,54561384,0,51,Statins increase blood cholesterol.,Reprogramming committed murine blood cells to induced hematopoietic stem cells with defined factors. Hematopoietic stem cells (HSCs) sustain blood formation thr
scifact,1100,7227763,0,79,Statins increase blood cholesterol.,Experimental and clinical studies on lactate and pyruvate as indicators of the severity of acute circulatory failure (shock). The increase in lactate (L) and py
scifact,569,23460562,1,0,"In adult tissue, most T cells are memory T cells.",Early life compartmentalization of human T cell differentiation and regulatory function in mucosal and lymphoid tissues It is unclear how the immune response in
scifact,569,23848916,0,60,"In adult tissue, most T cells are memory T cells.","Oridonin, a diterpenoid purified from Rabdosia rubescens, inhibits the proliferation of cells from lymphoid malignancies in association with blockade of the NF-"
scifact,569,24044977,0,34,"In adult tissue, most T cells are memory T cells.","Innate lymphoid cells: emerging insights in development, lineage relationships, and function. Innate lymphoid cells (ILCs) are immune cells that lack a specific"
scifact,569,12966719,0,7,"In adult tissue, most T cells are memory T cells.",A local macrophage chemokine network sustains protective tissue-resident memory CD4 T cells CD8 tissue-resident memory T (TRM) cells provide efficient local con
scifact,569,3545805,0,49,"In adult tissue, most T cells are memory T cells.","Tumor-specific Th17-polarized cells eradicate large established melanoma. CD4+ T cells can differentiate into multiple effector subsets, but the potential roles"
scifact,1029,13923140,1,1,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseas,Interleukin-2 gene variation impairs regulatory T cell function and causes autoimmunity Autoimmune diseases are thought to result from imbalances in normal immu
